2014,1983,2.313
2014,1984,2.1003
2014,1985,1.9397
2014,1986,1.8261
2014,1987,1.7396
2014,1988,1.6619
2014,1989,1.5894
2014,1990,1.5272
2014,1991,1.475
2014,1992,1.4423
2014,1993,1.4235
2014,1994,1.3978
2014,1995,1.3418
2014,1996,1.278
2014,1997,1.2495
2014,1998,1.2333
2014,1999,1.2247
2014,2000,1.2186
2014,2001,1.1934
2014,2002,1.179
2014,2003,1.1591
2014,2004,1.148
2014,2005,1.1328
2014,2006,1.1105
2014,2007,1.0867
2014,2008,1.053
2014,2009,1.0303
2014,2010,1.0181
2014,2011,1.0181
2014,2012,1.008
2014,2013,1.00
2014,2014,1.00



































