2013,1983,2.313
2013,1984,2.1003
2013,1985,1.9397
2013,1986,1.8261
2013,1987,1.7396
2013,1988,1.6619
2013,1989,1.5894
2013,1990,1.5272
2013,1991,1.475
2013,1992,1.4423
2013,1993,1.4235
2013,1994,1.3978
2013,1995,1.3418
2013,1996,1.278
2013,1997,1.2495
2013,1998,1.2333
2013,1999,1.2247
2013,2000,1.2186
2013,2001,1.1934
2013,2002,1.179
2013,2003,1.1591
2013,2004,1.148
2013,2005,1.1328
2013,2006,1.1105
2013,2007,1.0867
2013,2008,1.053
2013,2009,1.0303
2013,2010,1.0181
2013,2011,1.0181
2013,2012,1.008
2013,2013,1.00
