'1','---    ','PRODUCCION MEJILLON EN BATEA','---'
'1','224.4  ','PTOS. CALIBRADOS POR RECTIFICADO','2244'
'1','224.5  ','PERFILES CONFORMADOS EN FRIO','2245'
'1','224.6  ','FLEJE LAMINADO EN FRIO','2246'
'1','224.7  ','FLEJE MAGNETICO LAMINADO EN FRIO','2247'
'1','224.8  ','FLEJE RECUBIERTO','2248'
'1','225.1  ','PROD. Y PRIM. TRANSFORMACION ALUMINIO','2251'
'1','225.2  ','PROD. Y PRIM. TRANSFORMACION DE COBRE','2252'
'1','225.9  ','PROD. Y PRIM. TRANSF. OTROS METALES','2259'
'1','231.1  ','EXTRACCION SUSTANCIAS ARCILLOSAS','2311'
'1','231.2  ','EXTRACC. ROCAS Y PIZARRAS CONSTRUCCION','2312'
'1','231.3  ','EXTRACC. ARENAS Y GRAVAS CONSTRUCCION','2313'
'1','231.4  ','EXTRACCION DE YESO','2314'
'1','231.9  ','EXTRACCION OTROS MATERIALES CONSTRUCCION','2319'
'1','232.1  ','EXTRACCION SALES POTASICAS','2321'
'1','232.2  ','EXTRACCION FOSFATOS Y NITRATOS','2322'
'1','233.1  ','EXTRACCION DE SAL MARINA','2331'
'1','233.2  ','EXTRACC. SAL MANANTIAL Y GEMA','2332'
'1','234    ','EXTRACCION DE PIRITAS Y AZUFRE','234'
'1','234.1  ','PIRITAS DE HIERRO SIN TOSTAR','2341'
'1','234.2  ','AZUFRE NATURAL','2342'
'1','239.1  ','EXTRACCION DE FLUORITA','2391'
'1','239.2  ','EXTRACCION DE TURBA','2392'
'1','239.9  ','EXTRACC. DE OTROS MINERALES NCOP','2399'
'1','241    ','FAB.PTOS.TIERRAS COCIDAS CONSTRUCCION','241'
'1','241.1  ','LADRILLOS BLOQUES Y FORJADOS','2411'
'1','241.2  ','TEJAS, BALDOSAS Y OTROS MATERIALES','2412'
'1','242.1  ','FAB. CEMENTOS ARTIFICIALES','2421'
'1','242.2  ','FAB. CEMENTOS NATURALES','2422'
'1','242.3  ','FAB. CALES Y YESOS','2423'
'1','243.1  ','FAB. HORMIGONES PREPARADOS','2431'
'1','243.2  ','FAB. PTOS. EN FIBROCEMENTO','2432'
'1','243.3  ','FAB. OTROS ARTICULOS DERIVADOS CEMENTO','2433'
'1','243.4  ','FAB. PAVIMENTOS DERIVADOS DEL CEMENTO','2434'
'1','243.5  ','FAB. ARTICULOS DERIVADOS YESO Y ESCAYOLA','2435'
'1','244    ','INDUSTRIAS DE LA PIEDRA NATURAL','244'
'1','244.1  ','PIEDRA NATURAL TRITURADA Y CLASIFICADA','2441'
'1','244.2  ','PIEDRA NATURAL TALLADA Y ASERRADA','2442'
'1','244.3  ','PIEDRA ELABORADA','2443'
'1','245    ','FAB. DE ABRASIVOS','245'
'1','245.1  ','MUELAS Y ARTICULOS SIMILARES','2451'
'1','245.2  ','OTROS ABRASIVOS','2452'
'1','246.1  ','FAB. VIDRIO PLANO','2461'
'1','246.2  ','FAB. VIDRIO HUECO','2462'
'1','246.3  ','FAB. VIDRIO TECNICO','2463'
'1','246.4  ','FAB. FIBRA DE VIDRIO','2464'
'1','246.5  ','MANIPULADO DE VIDRIO','2465'
'1','246.6  ','FABRICAC. DE FRITAS Y ESMALTES CERAMICOS','2466'
'1','247.1  ','FAB. ARTICULOS REFRACTARIOS','2471'
'1','247.2  ','FAB. BALDOSAS PARA PAVIMENTOS','2472'
'1','247.3  ','FAB. BALDOSAS ESMALTADAS PARA PAVIMENTOS','2473'
'1','247.4  ','FAB. VAJILLAS Y ARTICULOS PARA EL HOGAR','2474'
'1','247.5  ','FAB. APARATOS SANITARIOS LOZA Y PORCEL.','2475'
'1','247.6  ','FAB. AISLADORES EN MATERIAL CERAMICO','2476'
'1','247.9  ','FAB. OTROS PTOS. CERAMICOS NCOP','2479'
'1','249    ','IND. OTROS PTOS. MINERALES NO MET.','249'
'1','249.1  ','FAB. PTOS. ASFALTICOS','2491'
'1','249.2  ','FAB. PTOS. A BASE DE AMIANTO','2492'
'1','249.9  ','FAB. PTOS. CON OTROS MINERALES NO METAL','2499'
'1','251.1  ','FAB.PTO.QUIMICOS ORGANICOS PETROQUIMICOS','2511'
'1','251.2  ','FAB. OTROS PTOS. QUIMICOS ORGANICOS','2512'
'1','251.3  ','FAB. PTOS. QUIMICOS INORGANICOS','2513'
'1','251.4  ','FAB. PRIMERA MATERIAS PLASTICAS','2514'
'1','251.5  ','FAB. CAUCHO Y LATEX SINTETICOS','2515'
'1','251.6  ','FAB. FIBRAS ARTIFICIALES Y SINTETICAS','2516'
'1','251.7  ','FAB. ACIDO ANHIDRICO FTALICO Y MALEICO','2517'
'1','252.1  ','FAB. DE ABONOS','2521'
'1','252.2  ','FAB. DE PLAGUICIDAS','2522'
'1','253.1  ','FAB. GASES COMPRIMIDOS','2531'
